Time,Date,Hour,Day_of_Week,Road_Name,Vehicle_Count,Traffic_Density,Congestion_Level,Avg_Speed_kmh,Pollution_Index
2024-04-01 05:00:00,2024-04-01,5,Monday,MG Road,39,0.08,Low,58.8,53.4
2024-04-01 05:00:00,2024-04-01,5,Monday,Brigade Road,13,0.03,Low,61.2,34.8
2024-04-01 05:00:00,2024-04-01,5,Monday,Outer Ring Road,27,0.04,Low,54.0,48.9
2024-04-01 05:00:00,2024-04-01,5,Monday,Hosur Road,29,0.05,Low,56.4,77.7
2024-04-01 05:00:00,2024-04-01,5,Monday,Bannerghatta Road,50,0.03,Low,63.2,93.4
2024-04-01 05:00:00,2024-04-01,5,Monday,Old Airport Road,6,0.14,Low,48.3,44.2
2024-04-01 05:00:00,2024-04-01,5,Monday,Whitefield Road,11,0.13,Low,48.8,28.9
2024-04-01 05:00:00,2024-04-01,5,Monday,Electronic City Road,38,0.05,Low,54.9,78.3
2024-04-01 06:00:00,2024-04-01,6,Monday,MG Road,118,0.35,Moderate,40.6,133.9
2024-04-01 06:00:00,2024-04-01,6,Monday,Brigade Road,56,0.21,Low,48.2,86.5
2024-04-01 06:00:00,2024-04-01,6,Monday,Outer Ring Road,112,0.21,Low,48.2,129.7
2024-04-01 06:00:00,2024-04-01,6,Monday,Hosur Road,94,0.26,Low,49.0,98.4
2024-04-01 06:00:00,2024-04-01,6,Monday,Bannerghatta Road,43,0.16,Low,52.2,63.8
2024-04-01 06:00:00,2024-04-01,6,Monday,Old Airport Road,52,0.34,Low,37.1,85.4
2024-04-01 06:00:00,2024-04-01,6,Monday,Whitefield Road,98,0.17,Low,50.5,111.1
2024-04-01 06:00:00,2024-04-01,6,Monday,Electronic City Road,67,0.19,Low,46.0,89.4
2024-04-01 07:00:00,2024-04-01,7,Monday,MG Road,110,0.28,Low,41.4,138.1
2024-04-01 07:00:00,2024-04-01,7,Monday,Brigade Road,64,0.15,Low,56.0,111.0
2024-04-01 07:00:00,2024-04-01,7,Monday,Outer Ring Road,67,0.26,Low,42.1,110.9
2024-04-01 07:00:00,2024-04-01,7,Monday,Hosur Road,102,0.16,Low,49.1,107.9
2024-04-01 07:00:00,2024-04-01,7,Monday,Bannerghatta Road,92,0.26,Low,45.5,133.1
2024-04-01 07:00:00,2024-04-01,7,Monday,Old Airport Road,83,0.26,Low,42.4,112.9
2024-04-01 07:00:00,2024-04-01,7,Monday,Whitefield Road,112,0.33,Low,36.4,113.9
2024-04-01 07:00:00,2024-04-01,7,Monday,Electronic City Road,89,0.18,Low,50.2,119.9
2024-04-01 08:00:00,2024-04-01,8,Monday,MG Road,299,0.89,Critical,6.7,269.2
2024-04-01 08:00:00,2024-04-01,8,Monday,Brigade Road,244,0.68,High,22.5,217.0
2024-04-01 08:00:00,2024-04-01,8,Monday,Outer Ring Road,381,0.92,Critical,9.6,331.3
2024-04-01 08:00:00,2024-04-01,8,Monday,Hosur Road,325,0.84,High,10.2,284.5
2024-04-01 08:00:00,2024-04-01,8,Monday,Bannerghatta Road,219,0.84,High,10.4,201.1
2024-04-01 08:00:00,2024-04-01,8,Monday,Old Airport Road,202,0.66,High,24.4,213.4
2024-04-01 08:00:00,2024-04-01,8,Monday,Whitefield Road,214,0.96,Critical,5.0,217.9
2024-04-01 08:00:00,2024-04-01,8,Monday,Electronic City Road,327,0.92,Critical,9.5,311.6
2024-04-01 09:00:00,2024-04-01,9,Monday,MG Road,307,0.95,Critical,6.8,266.6
2024-04-01 09:00:00,2024-04-01,9,Monday,Brigade Road,334,0.92,Critical,7.8,321.8
2024-04-01 09:00:00,2024-04-01,9,Monday,Outer Ring Road,333,0.74,High,14.4,287.9
2024-04-01 09:00:00,2024-04-01,9,Monday,Hosur Road,334,0.73,High,14.7,320.0
2024-04-01 09:00:00,2024-04-01,9,Monday,Bannerghatta Road,234,0.73,High,15.2,218.3
2024-04-01 09:00:00,2024-04-01,9,Monday,Old Airport Road,185,0.99,Critical,5.0,188.4
2024-04-01 09:00:00,2024-04-01,9,Monday,Whitefield Road,354,0.77,High,10.0,342.0
2024-04-01 09:00:00,2024-04-01,9,Monday,Electronic City Road,268,0.85,Critical,5.0,258.3
2024-04-01 10:00:00,2024-04-01,10,Monday,MG Road,348,0.9,Critical,5.4,337.8
2024-04-01 10:00:00,2024-04-01,10,Monday,Brigade Road,269,0.78,High,10.1,237.0
2024-04-01 10:00:00,2024-04-01,10,Monday,Outer Ring Road,414,0.65,High,22.9,388.8
2024-04-01 10:00:00,2024-04-01,10,Monday,Hosur Road,245,0.78,High,17.7,252.8
2024-04-01 10:00:00,2024-04-01,10,Monday,Bannerghatta Road,332,0.76,High,16.6,297.6
2024-04-01 10:00:00,2024-04-01,10,Monday,Old Airport Road,246,0.88,Critical,6.2,228.6
2024-04-01 10:00:00,2024-04-01,10,Monday,Whitefield Road,245,0.72,High,18.6,252.1
2024-04-01 10:00:00,2024-04-01,10,Monday,Electronic City Road,406,0.85,Critical,9.5,344.8
2024-04-01 11:00:00,2024-04-01,11,Monday,MG Road,158,0.41,Moderate,36.5,159.3
2024-04-01 11:00:00,2024-04-01,11,Monday,Brigade Road,166,0.48,Moderate,31.3,184.5
2024-04-01 11:00:00,2024-04-01,11,Monday,Outer Ring Road,235,0.4,Moderate,33.8,234.6
2024-04-01 11:00:00,2024-04-01,11,Monday,Hosur Road,171,0.45,Moderate,34.7,165.8
2024-04-01 11:00:00,2024-04-01,11,Monday,Bannerghatta Road,96,0.39,Moderate,34.0,115.8
2024-04-01 11:00:00,2024-04-01,11,Monday,Old Airport Road,172,0.37,Moderate,41.7,180.6
2024-04-01 11:00:00,2024-04-01,11,Monday,Whitefield Road,201,0.56,Moderate,25.4,186.7
2024-04-01 11:00:00,2024-04-01,11,Monday,Electronic City Road,194,0.35,Moderate,41.8,184.0
2024-04-01 12:00:00,2024-04-01,12,Monday,MG Road,210,0.51,Moderate,30.0,224.7
2024-04-01 12:00:00,2024-04-01,12,Monday,Brigade Road,122,0.49,Moderate,32.3,157.1
2024-04-01 12:00:00,2024-04-01,12,Monday,Outer Ring Road,222,0.45,Moderate,34.1,226.4
2024-04-01 12:00:00,2024-04-01,12,Monday,Hosur Road,165,0.48,Moderate,30.7,158.4
2024-04-01 12:00:00,2024-04-01,12,Monday,Bannerghatta Road,137,0.49,Moderate,34.0,140.7
2024-04-01 12:00:00,2024-04-01,12,Monday,Old Airport Road,180,0.51,Moderate,26.8,181.6
2024-04-01 12:00:00,2024-04-01,12,Monday,Whitefield Road,194,0.44,Moderate,32.0,210.9
2024-04-01 12:00:00,2024-04-01,12,Monday,Electronic City Road,105,0.39,Moderate,35.4,110.1
2024-04-01 13:00:00,2024-04-01,13,Monday,MG Road,142,0.37,Moderate,36.1,152.2
2024-04-01 13:00:00,2024-04-01,13,Monday,Brigade Road,111,0.41,Moderate,34.3,139.6
2024-04-01 13:00:00,2024-04-01,13,Monday,Outer Ring Road,244,0.36,Moderate,37.2,215.4
2024-04-01 13:00:00,2024-04-01,13,Monday,Hosur Road,139,0.44,Moderate,37.1,169.3
2024-04-01 13:00:00,2024-04-01,13,Monday,Bannerghatta Road,140,0.51,Moderate,32.4,167.9
2024-04-01 13:00:00,2024-04-01,13,Monday,Old Airport Road,137,0.42,Moderate,34.7,145.2
2024-04-01 13:00:00,2024-04-01,13,Monday,Whitefield Road,191,0.55,Moderate,29.2,206.4
2024-04-01 13:00:00,2024-04-01,13,Monday,Electronic City Road,122,0.64,Moderate,16.9,133.4
2024-04-01 14:00:00,2024-04-01,14,Monday,MG Road,189,0.55,Moderate,28.4,176.6
2024-04-01 14:00:00,2024-04-01,14,Monday,Brigade Road,171,0.4,Moderate,34.8,165.3
2024-04-01 14:00:00,2024-04-01,14,Monday,Outer Ring Road,171,0.45,Moderate,30.8,194.8
2024-04-01 14:00:00,2024-04-01,14,Monday,Hosur Road,138,0.43,Moderate,33.9,160.4
2024-04-01 14:00:00,2024-04-01,14,Monday,Bannerghatta Road,87,0.65,High,18.2,92.3
2024-04-01 14:00:00,2024-04-01,14,Monday,Old Airport Road,144,0.36,Moderate,42.9,143.2
2024-04-01 14:00:00,2024-04-01,14,Monday,Whitefield Road,91,0.54,Moderate,23.9,119.6
2024-04-01 14:00:00,2024-04-01,14,Monday,Electronic City Road,186,0.63,Moderate,24.2,199.5
2024-04-01 15:00:00,2024-04-01,15,Monday,MG Road,124,0.53,Moderate,31.0,125.8
2024-04-01 15:00:00,2024-04-01,15,Monday,Brigade Road,138,0.38,Moderate,41.5,153.4
2024-04-01 15:00:00,2024-04-01,15,Monday,Outer Ring Road,175,0.47,Moderate,27.6,187.6
2024-04-01 15:00:00,2024-04-01,15,Monday,Hosur Road,175,0.42,Moderate,38.3,184.0
2024-04-01 15:00:00,2024-04-01,15,Monday,Bannerghatta Road,103,0.59,Moderate,27.4,116.3
2024-04-01 15:00:00,2024-04-01,15,Monday,Old Airport Road,119,0.55,Moderate,27.1,128.8
2024-04-01 15:00:00,2024-04-01,15,Monday,Whitefield Road,145,0.6,Moderate,23.3,150.5
2024-04-01 15:00:00,2024-04-01,15,Monday,Electronic City Road,168,0.56,Moderate,23.2,175.3
2024-04-01 16:00:00,2024-04-01,16,Monday,MG Road,218,0.43,Moderate,36.9,213.0
2024-04-01 16:00:00,2024-04-01,16,Monday,Brigade Road,216,0.53,Moderate,31.7,226.0
2024-04-01 16:00:00,2024-04-01,16,Monday,Outer Ring Road,131,0.43,Moderate,31.6,143.4
2024-04-01 16:00:00,2024-04-01,16,Monday,Hosur Road,173,0.55,Moderate,22.3,192.4
2024-04-01 16:00:00,2024-04-01,16,Monday,Bannerghatta Road,104,0.5,Moderate,33.0,116.8
2024-04-01 16:00:00,2024-04-01,16,Monday,Old Airport Road,146,0.56,Moderate,27.0,157.5
2024-04-01 16:00:00,2024-04-01,16,Monday,Whitefield Road,122,0.38,Moderate,37.1,147.9
2024-04-01 16:00:00,2024-04-01,16,Monday,Electronic City Road,206,0.49,Moderate,30.1,185.5
2024-04-01 17:00:00,2024-04-01,17,Monday,MG Road,328,0.73,High,14.3,305.7
2024-04-01 17:00:00,2024-04-01,17,Monday,Brigade Road,377,0.84,High,8.9,351.4
2024-04-01 17:00:00,2024-04-01,17,Monday,Outer Ring Road,373,0.77,High,11.5,328.5
2024-04-01 17:00:00,2024-04-01,17,Monday,Hosur Road,231,0.9,Critical,5.0,226.2
2024-04-01 17:00:00,2024-04-01,17,Monday,Bannerghatta Road,232,0.72,High,14.6,229.2
2024-04-01 17:00:00,2024-04-01,17,Monday,Old Airport Road,291,0.86,Critical,11.7,264.6
2024-04-01 17:00:00,2024-04-01,17,Monday,Whitefield Road,302,0.71,High,19.5,266.7
2024-04-01 17:00:00,2024-04-01,17,Monday,Electronic City Road,236,0.99,Critical,5.0,246.6
2024-04-01 18:00:00,2024-04-01,18,Monday,MG Road,450,0.95,Critical,5.0,380.5
2024-04-01 18:00:00,2024-04-01,18,Monday,Brigade Road,319,0.81,High,9.8,313.8
2024-04-01 18:00:00,2024-04-01,18,Monday,Outer Ring Road,346,0.98,Critical,5.0,299.4
2024-04-01 18:00:00,2024-04-01,18,Monday,Hosur Road,345,0.68,High,21.1,302.1
2024-04-01 18:00:00,2024-04-01,18,Monday,Bannerghatta Road,316,0.98,Critical,6.1,277.5
2024-04-01 18:00:00,2024-04-01,18,Monday,Old Airport Road,280,0.86,Critical,5.7,264.9
2024-04-01 18:00:00,2024-04-01,18,Monday,Whitefield Road,338,0.97,Critical,5.4,330.0
2024-04-01 18:00:00,2024-04-01,18,Monday,Electronic City Road,300,0.85,Critical,10.1,289.6
2024-04-01 19:00:00,2024-04-01,19,Monday,MG Road,300,0.87,Critical,9.4,266.3
2024-04-01 19:00:00,2024-04-01,19,Monday,Brigade Road,275,0.84,High,5.0,258.0
2024-04-01 19:00:00,2024-04-01,19,Monday,Outer Ring Road,455,0.81,High,8.7,412.3
2024-04-01 19:00:00,2024-04-01,19,Monday,Hosur Road,322,0.67,High,24.0,309.1
2024-04-01 19:00:00,2024-04-01,19,Monday,Bannerghatta Road,336,0.86,Critical,7.7,310.6
2024-04-01 19:00:00,2024-04-01,19,Monday,Old Airport Road,325,0.7,High,21.3,282.9
2024-04-01 19:00:00,2024-04-01,19,Monday,Whitefield Road,264,0.93,Critical,6.7,254.0
2024-04-01 19:00:00,2024-04-01,19,Monday,Electronic City Road,307,0.8,High,13.9,293.6
2024-04-01 20:00:00,2024-04-01,20,Monday,MG Road,328,0.83,High,9.6,306.3
2024-04-01 20:00:00,2024-04-01,20,Monday,Brigade Road,371,0.91,Critical,5.0,320.5
2024-04-01 20:00:00,2024-04-01,20,Monday,Outer Ring Road,447,0.86,Critical,13.4,404.5
2024-04-01 20:00:00,2024-04-01,20,Monday,Hosur Road,267,0.85,Critical,8.7,259.7
2024-04-01 20:00:00,2024-04-01,20,Monday,Bannerghatta Road,259,0.71,High,16.8,259.8
2024-04-01 20:00:00,2024-04-01,20,Monday,Old Airport Road,195,0.81,High,9.7,202.8
2024-04-01 20:00:00,2024-04-01,20,Monday,Whitefield Road,259,0.77,High,11.7,265.0
2024-04-01 20:00:00,2024-04-01,20,Monday,Electronic City Road,376,0.66,High,18.5,333.7
2024-04-01 21:00:00,2024-04-01,21,Monday,MG Road,121,0.23,Low,49.4,116.8
2024-04-01 21:00:00,2024-04-01,21,Monday,Brigade Road,121,0.26,Low,39.9,137.5
2024-04-01 21:00:00,2024-04-01,21,Monday,Outer Ring Road,120,0.3,Low,41.4,118.1
2024-04-01 21:00:00,2024-04-01,21,Monday,Hosur Road,61,0.26,Low,43.8,96.7
2024-04-01 21:00:00,2024-04-01,21,Monday,Bannerghatta Road,57,0.16,Low,51.5,75.2
2024-04-01 21:00:00,2024-04-01,21,Monday,Old Airport Road,37,0.21,Low,47.9,53.3
2024-04-01 21:00:00,2024-04-01,21,Monday,Whitefield Road,110,0.33,Low,44.7,133.9
2024-04-01 21:00:00,2024-04-01,21,Monday,Electronic City Road,57,0.25,Low,45.1,76.5
2024-04-01 22:00:00,2024-04-01,22,Monday,MG Road,125,0.25,Low,42.4,142.1
2024-04-01 22:00:00,2024-04-01,22,Monday,Brigade Road,89,0.19,Low,48.7,126.4
2024-04-01 22:00:00,2024-04-01,22,Monday,Outer Ring Road,136,0.16,Low,48.8,160.3
2024-04-01 22:00:00,2024-04-01,22,Monday,Hosur Road,61,0.31,Low,43.7,102.3
2024-04-01 22:00:00,2024-04-01,22,Monday,Bannerghatta Road,82,0.35,Moderate,42.7,103.5
2024-04-01 22:00:00,2024-04-01,22,Monday,Old Airport Road,73,0.22,Low,49.4,93.5
2024-04-01 22:00:00,2024-04-01,22,Monday,Whitefield Road,109,0.21,Low,52.2,116.8
2024-04-01 22:00:00,2024-04-01,22,Monday,Electronic City Road,79,0.2,Low,43.4,113.0
2024-04-01 23:00:00,2024-04-01,23,Monday,MG Road,112,0.33,Low,39.1,136.1
2024-04-01 23:00:00,2024-04-01,23,Monday,Brigade Road,109,0.28,Low,43.2,108.7
2024-04-01 23:00:00,2024-04-01,23,Monday,Outer Ring Road,100,0.34,Low,43.3,135.0
2024-04-01 23:00:00,2024-04-01,23,Monday,Hosur Road,78,0.17,Low,45.0,88.2
2024-04-01 23:00:00,2024-04-01,23,Monday,Bannerghatta Road,89,0.28,Low,38.9,122.5
2024-04-01 23:00:00,2024-04-01,23,Monday,Old Airport Road,55,0.22,Low,48.3,98.1
2024-04-01 23:00:00,2024-04-01,23,Monday,Whitefield Road,115,0.28,Low,42.0,124.7
2024-04-01 23:00:00,2024-04-01,23,Monday,Electronic City Road,107,0.33,Low,43.9,107.0
2024-04-02 00:00:00,2024-04-02,0,Tuesday,MG Road,10,0.05,Low,62.0,57.9
2024-04-02 00:00:00,2024-04-02,0,Tuesday,Brigade Road,50,0.15,Low,53.0,64.0
2024-04-02 00:00:00,2024-04-02,0,Tuesday,Outer Ring Road,11,0.11,Low,48.9,60.6
2024-04-02 00:00:00,2024-04-02,0,Tuesday,Hosur Road,28,0.07,Low,52.3,63.6
2024-04-02 00:00:00,2024-04-02,0,Tuesday,Bannerghatta Road,8,0.04,Low,58.7,41.7
2024-04-02 00:00:00,2024-04-02,0,Tuesday,Old Airport Road,27,0.08,Low,51.6,60.0
2024-04-02 00:00:00,2024-04-02,0,Tuesday,Whitefield Road,14,0.08,Low,59.2,49.8
2024-04-02 00:00:00,2024-04-02,0,Tuesday,Electronic City Road,22,0.11,Low,49.1,75.4
2024-04-02 01:00:00,2024-04-02,1,Tuesday,MG Road,34,0.1,Low,55.9,65.5
2024-04-02 01:00:00,2024-04-02,1,Tuesday,Brigade Road,32,0.05,Low,60.5,49.9
2024-04-02 01:00:00,2024-04-02,1,Tuesday,Outer Ring Road,48,0.09,Low,52.6,86.4
2024-04-02 01:00:00,2024-04-02,1,Tuesday,Hosur Road,8,0.15,Low,48.7,49.0
2024-04-02 01:00:00,2024-04-02,1,Tuesday,Bannerghatta Road,13,0.14,Low,54.9,66.5
2024-04-02 01:00:00,2024-04-02,1,Tuesday,Old Airport Road,19,0.1,Low,51.2,42.8
2024-04-02 01:00:00,2024-04-02,1,Tuesday,Whitefield Road,18,0.11,Low,54.7,70.5
2024-04-02 01:00:00,2024-04-02,1,Tuesday,Electronic City Road,12,0.06,Low,51.7,44.2
2024-04-02 02:00:00,2024-04-02,2,Tuesday,MG Road,15,0.03,Low,56.5,48.6
2024-04-02 02:00:00,2024-04-02,2,Tuesday,Brigade Road,28,0.04,Low,61.4,57.0
2024-04-02 02:00:00,2024-04-02,2,Tuesday,Outer Ring Road,46,0.14,Low,49.2,89.8
2024-04-02 02:00:00,2024-04-02,2,Tuesday,Hosur Road,37,0.15,Low,53.5,63.1
2024-04-02 02:00:00,2024-04-02,2,Tuesday,Bannerghatta Road,4,0.08,Low,51.6,61.9
2024-04-02 02:00:00,2024-04-02,2,Tuesday,Old Airport Road,35,0.15,Low,49.7,79.6
2024-04-02 02:00:00,2024-04-02,2,Tuesday,Whitefield Road,1,0.05,Low,56.5,47.7
2024-04-02 02:00:00,2024-04-02,2,Tuesday,Electronic City Road,35,0.1,Low,58.4,52.3
2024-04-02 03:00:00,2024-04-02,3,Tuesday,MG Road,33,0.08,Low,59.0,68.9
2024-04-02 03:00:00,2024-04-02,3,Tuesday,Brigade Road,33,0.1,Low,57.2,82.8
2024-04-02 03:00:00,2024-04-02,3,Tuesday,Outer Ring Road,26,0.1,Low,50.4,78.7
2024-04-02 03:00:00,2024-04-02,3,Tuesday,Hosur Road,19,0.15,Low,47.0,70.7
2024-04-02 03:00:00,2024-04-02,3,Tuesday,Bannerghatta Road,14,0.07,Low,57.5,60.9
2024-04-02 03:00:00,2024-04-02,3,Tuesday,Old Airport Road,31,0.07,Low,59.7,71.0
2024-04-02 03:00:00,2024-04-02,3,Tuesday,Whitefield Road,39,0.1,Low,49.3,66.0
2024-04-02 03:00:00,2024-04-02,3,Tuesday,Electronic City Road,36,0.08,Low,58.8,52.8
2024-04-02 04:00:00,2024-04-02,4,Tuesday,MG Road,46,0.09,Low,53.2,72.7
2024-04-02 04:00:00,2024-04-02,4,Tuesday,Brigade Road,25,0.15,Low,46.9,48.5
2024-04-02 04:00:00,2024-04-02,4,Tuesday,Outer Ring Road,8,0.03,Low,55.6,31.4
2024-04-02 04:00:00,2024-04-02,4,Tuesday,Hosur Road,26,0.03,Low,55.3,49.4
2024-04-02 04:00:00,2024-04-02,4,Tuesday,Bannerghatta Road,13,0.06,Low,59.3,54.2
2024-04-02 04:00:00,2024-04-02,4,Tuesday,Old Airport Road,14,0.13,Low,57.1,52.8
2024-04-02 04:00:00,2024-04-02,4,Tuesday,Whitefield Road,8,0.03,Low,54.5,40.7
2024-04-02 04:00:00,2024-04-02,4,Tuesday,Electronic City Road,14,0.1,Low,50.7,33.3
2024-04-02 05:00:00,2024-04-02,5,Tuesday,MG Road,32,0.09,Low,54.4,76.7
2024-04-02 05:00:00,2024-04-02,5,Tuesday,Brigade Road,50,0.1,Low,54.0,97.8
2024-04-02 05:00:00,2024-04-02,5,Tuesday,Outer Ring Road,15,0.11,Low,51.4,57.7
2024-04-02 05:00:00,2024-04-02,5,Tuesday,Hosur Road,11,0.03,Low,61.7,45.9
2024-04-02 05:00:00,2024-04-02,5,Tuesday,Bannerghatta Road,15,0.08,Low,50.9,35.2
2024-04-02 05:00:00,2024-04-02,5,Tuesday,Old Airport Road,11,0.03,Low,59.4,52.2
2024-04-02 05:00:00,2024-04-02,5,Tuesday,Whitefield Road,37,0.07,Low,56.1,67.7
2024-04-02 05:00:00,2024-04-02,5,Tuesday,Electronic City Road,31,0.03,Low,61.7,70.8
2024-04-02 06:00:00,2024-04-02,6,Tuesday,MG Road,111,0.26,Low,43.7,144.3
2024-04-02 06:00:00,2024-04-02,6,Tuesday,Brigade Road,86,0.22,Low,45.8,118.0
2024-04-02 06:00:00,2024-04-02,6,Tuesday,Outer Ring Road,82,0.24,Low,44.3,91.7
2024-04-02 06:00:00,2024-04-02,6,Tuesday,Hosur Road,100,0.24,Low,48.9,103.7
2024-04-02 06:00:00,2024-04-02,6,Tuesday,Bannerghatta Road,47,0.3,Low,45.1,79.9
2024-04-02 06:00:00,2024-04-02,6,Tuesday,Old Airport Road,80,0.34,Low,37.9,88.9
2024-04-02 06:00:00,2024-04-02,6,Tuesday,Whitefield Road,74,0.32,Low,44.5,108.0
2024-04-02 06:00:00,2024-04-02,6,Tuesday,Electronic City Road,70,0.27,Low,39.8,96.3
2024-04-02 07:00:00,2024-04-02,7,Tuesday,MG Road,60,0.28,Low,46.7,82.0
2024-04-02 07:00:00,2024-04-02,7,Tuesday,Brigade Road,91,0.22,Low,47.5,125.1
2024-04-02 07:00:00,2024-04-02,7,Tuesday,Outer Ring Road,140,0.26,Low,45.5,157.7
2024-04-02 07:00:00,2024-04-02,7,Tuesday,Hosur Road,43,0.27,Low,39.1,65.3
2024-04-02 07:00:00,2024-04-02,7,Tuesday,Bannerghatta Road,88,0.21,Low,45.9,97.7
2024-04-02 07:00:00,2024-04-02,7,Tuesday,Old Airport Road,48,0.26,Low,40.1,88.0
2024-04-02 07:00:00,2024-04-02,7,Tuesday,Whitefield Road,53,0.17,Low,47.0,79.2
2024-04-02 07:00:00,2024-04-02,7,Tuesday,Electronic City Road,72,0.18,Low,51.4,108.7
2024-04-02 08:00:00,2024-04-02,8,Tuesday,MG Road,413,0.86,Critical,5.0,380.6
2024-04-02 08:00:00,2024-04-02,8,Tuesday,Brigade Road,238,0.89,Critical,6.0,227.4
2024-04-02 08:00:00,2024-04-02,8,Tuesday,Outer Ring Road,466,0.8,High,9.2,413.3
2024-04-02 08:00:00,2024-04-02,8,Tuesday,Hosur Road,293,0.8,High,13.8,278.1
2024-04-02 08:00:00,2024-04-02,8,Tuesday,Bannerghatta Road,305,0.88,Critical,5.0,303.4
2024-04-02 08:00:00,2024-04-02,8,Tuesday,Old Airport Road,183,0.65,High,25.5,197.1
2024-04-02 08:00:00,2024-04-02,8,Tuesday,Whitefield Road,274,0.75,High,10.1,269.1
2024-04-02 08:00:00,2024-04-02,8,Tuesday,Electronic City Road,275,0.7,High,20.0,260.0
2024-04-02 09:00:00,2024-04-02,9,Tuesday,MG Road,342,0.68,High,18.6,312.0
2024-04-02 09:00:00,2024-04-02,9,Tuesday,Brigade Road,256,0.95,Critical,5.0,241.0
2024-04-02 09:00:00,2024-04-02,9,Tuesday,Outer Ring Road,473,0.8,High,11.1,437.0
2024-04-02 09:00:00,2024-04-02,9,Tuesday,Hosur Road,254,0.93,Critical,5.0,250.8
